Question,Answer
Where do I get on the bus?,"You can board after exchanging the physical ticket at the ticket box in Gwanghwamun. Gwanghwamun Ticket Office: 68-2 Taepyeong-ro 1-ga, Jung-gu, Seoul (Search Seoul City Tour Bus on Google Map). You can find our ticket office nearby Gwanghwamun Station Intersection, Dongwha Duty Free Shop or Koreana Hotel. By subway: 100m from Exit 6 of Gwanghwamun Station on Line 5, 300m from Exit 3 of City Hall Station on Subway Lines 1 and 2."
Can I get on again after getting off?,"Seoul City Tour Bus allows you to get on and off the course with one ticket all day. Refer to the route map and timetable and travel! (However, the night view course is a non-stop course product that departs once a day, so you can ride it once.)"
Are bus seats designated?,"All seats are unassigned seats. Boarding is on a first-come, first-served basis, so it is recommended to arrive early during peak seasons such as weekends, holidays, and vacations."
"The Downtown Palaces Namsan Course includes the Blue House. If I purchase a ticket for your service, is it available to get in and tour the Blue House?",Our ticket is only for Seoul City Tour Bus service. Customers who want to see the inside of the Blue House must make reservations via a website of the Blue House(http://reserve.opencheongwadae.kr/) in advance.
What type of bus is running?,"The open double-decker bus is the main service, and it can be operated as Glastop double-decker buses or semi-open first-decker buses depending on reservation/traffic/vehicle conditions."
Does the bus operate on rainy days?,Any open-top bus has a retractable roof which can be closed on rainy days. We can operate the service under rainy conditions.
What time does a bus for the Downtown Palaces Namsan Course depart?,"Buses depart from the Gwanghwamun ticket office every 40 minutes from 9:30 for the first bus to 16:50 for the last bus on weekdays, and every 30 minutes from 9:20 for the first bus to 16:50 for the last bus on weekends and holidays."
How long does the Downtown Palaces Namsan Course take?,"If you take the Downtown Palaces Namsan Course and return to the Gwanghwamun stop without getting off at any stop, it will take about 1 hour and 30 minutes."
Is there a minimum number of people to depart?,"There is no minimum number of participants for the Downtown Palaces Namsan Course, and it departs at a regular time every day. The Night View Course requires a minimum of 10 people to depart. We do not operate the Night View Course if there are less than 10 customers."
When does the night view course depart?,The Night View Course departure time: From January 01st to April 15th: Departure at 19:00. From April 16th to September 15th: Departure at 19:30. From September 16th to December 31st: Departure at 19:00.
Is it possible to make a reservation for the same day?,"The daytime courses(TOUR01) can be purchased on-site on a first-come, first-served basis. For the night view course, please contact the customer center (02-777-6090). Online reservations on the very day are not available."
What is your Cancellation or Refund policy?,"Cancellation / Refund Information: Cancellation fee will be charged from 2 days before boarding, and if payment was made by bank transfer, refunds are only possible via a call to our customer center(+82-2-777-6090). 100% refund of fare if canceled 3 days before boarding date. 90% refund of fare if canceled 2 days before boarding date. 80% refund of fare if canceled 1 day before the boarding date. 70% refund in case of cancellation on the day of boarding (However, the Night View Tour cannot be refundable if canceled after PM 12:00 on the same day)."
버스에 휠체어가 탑승할 수 있나요?,"휠체어를 버스에 가져갈 수 있습니다. 폴딩형 휠체어는 1층에 묶어두고 2층으로 이동해서 이용할 수 있습니다. 하지만, 휠체어로 탑승은 1층에서만 가능하며 2층에서는 불가능합니다."
How many stops does the downtown palace namsan course have?,The Downtown Palace Namsan course has 15 stops. The stops can be found on the course information page on the Seoul City Tour Bus website.
在哪里上车?,在光化门售票处换取实体票后即可登机。光化门售票处： 首尔市中区太平路 1 街 68-2 号（在谷歌地图上搜索首尔城市观光巴士）。您可以在光化门站十字路口、东和免税店或 Koreana 酒店附近找到我们的售票处。地铁：距离地铁 5 号线光化门站 6 号出口 100 米，距离地铁 1 号线和 2 号线市政厅站 3 号出口 300 米
Where can I board the Seoul City Tour Bus?,"You can board after exchanging the physical ticket at the ticket box in Gwanghwamun. Gwanghwamun Ticket Office: 68-2 Taepyeong-ro 1-ga, Jung-gu, Seoul (Search Seoul City Tour Bus on Google Map). You can find our ticket office nearby Gwanghwamun Station Intersection, Dongwha Duty Free Shop or Koreana Hotel. By subway: 100m from Exit 6 of Gwanghwamun Station on Line 5, 300m from Exit 3 of City Hall Station on Subway Lines 1 and 2."
Is there a washroom on the bus?,"No, there is no washroom on the tour bus."
